country,iso,aluminum_us,aluminum_cn,antimony_us,antimony_cn,beryllium_us,beryllium_cn,bismuth_us,bismuth_cn,cadmium_us,cadmium_cn,chromium_us,chromium_cn,cobalt_us,cobalt_cn,copper_us,copper_cn,gold_us,gold_cn,steel_us,steel_cn,lead_us,lead_cn,lithium_us,lithium_cn,magnesium_us,magnesium_cn,manganese_us,manganese_cn,molybdenum_us,molybdenum_cn,graphite_us,graphite_cn,nickel_us,nickel_cn,niobium_us,niobium_cn,palladium_us,palladium_cn,platinum_us,platinum_cn,ree_us,ree_cn,rhodium_us,rhodium_cn,silver_us,silver_cn,tin_us,tin_cn,titanium_us,titanium_cn,tungsten_us,tungsten_cn,uranium_us,uranium_cn,zinc_us,zinc_cn,zirconium_us,zirconium_cn,beef_us,beef_cn,coffee_us,coffee_cn,maize_us,maize_cn,milk_us,milk_cn,palm_us,palm_cn,pork_us,pork_cn,poultry_us,poultry_cn,rice_us,rice_cn,soy_us,soy_cn,sugar_us,sugar_cn,wheat_us,wheat_cn,coal_us,coal_cn,gas_us,gas_cn,oil_us,oil_cn,trade_us,trade_cn,fdi_us,fdi_cn,student_out_us,student_in_us,student_out_cn,student_in_cn,aid_us,aid_cn,unga_us,unga_cn,arms_ex_us,arms_im_us,arms_ex_cn,arms_im_cn,mil_ex_us,mil_ex_cn
Romania,ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3468392640,4747248911,0,270000000,150.25,1215.94,89.25,5.5,0,0,0.49,0.5,0.09,0,0,0,4,0
Russia,RUS,0.069,0.001,0,0.042,0,0,0,0,0,0.031,0.031,0.001,0.05,0.007,0,0.004,0,0,0.036,0,0.008,0,0,0,0.015,0,0.006,0,0,0,0,0,0.032,0.102,0,0,0.211,0.124,0.018,0.047,0.003,0.003,0.067,0.053,0.001,0.001,0,0,0.028,0.004,0.009,0.001,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0.006,0,0.001,0.002,0.074,34272000000,81273126214,12106000000,5790000000,120.75,4983.08,7108,35.75,0,0,0.26,0.72,0,0,0,0.61,38,30
Rwanda,RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103937319.9,182896730.6,0,355000000,0,785.43,0,0,0.048,0.006,0.26,0.64,0,0,0,0,3,0
Sao Tome and Principe,STP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3723354.27,5981483,0,800000000,0,2.12,0,5,0.004,0,0.11,0.87,0,0,0,0,1,0
Saudi Arabia,SAU,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0.093,62804000000,57064315645,10123750000,2360000000,0,51483.85,813,0,0,0,0.22,0.76,0.52,0,0,0,4,2
Senegal,SEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380206604.4,1916586674,0,1203333333,0,634.02,0,0.5,0.023,0.001,0.24,0.8,0,0,0.24,0,4,0
Serbia,SRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595533320,609951895,0,1590000000,14.5,997.3,8.5,0,0.002,0.007,,,0,0,0,0,5,1
Seychelles,SYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31095211.1,49709937,0,0,0,17.97,0,0,0.001,0.01,0.19,0.79,0.04,0,0.43,0,14,0
Sierra Leone,SLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167873781.6,990095596.4,0,546666666.7,0,145.71,0,0,0.014,0.025,0.26,0.79,0,0,1,0,3,0
Singapore,SGP,0.003,0,0.004,0,0,0,0,0,0,0,0,0,0.002,0,0,0.004,0.001,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.013,0,0.05,0,0,0.019,0,0,0,0,0,0,0,0.036,0.003,0.004,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0.003,0,0,0,0.001,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66714000000,76987723291,2.53E+11,6362500000,0,4480.56,0,66.5,0,0,0.23,0.79,0.8,0,0,0,2,7
Slovak Republic,SVK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2995080745,5672983637,0,0,25,342.81,29.25,4.25,0,0,0.49,0.49,0,0,0,0,36,0
Slovenia,SVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251454313,2585765320,0,1840000000,7.25,203.23,20,0,0,0,0.49,0.5,1,0,0,0,5,0
Somalia,SOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69386667.1,319418673.4,0,0,0,30.32,0,0,0.239,0.002,0.18,0.76,0.17,0,0,0,21,0
South Africa,ZAF,0.006,0,0,0,0,0,0,0,0,0,0.437,0.647,0.021,0.009,0,0.001,0.003,0.054,0.003,0,0,0,0,0,0,0,0.291,0.333,0,0,0,0,0.004,0.007,0,0,0.27,0.099,0.381,0.39,0.015,0,0.44,0.335,0,0.003,0,0,0,0,0.001,0,0,0,0,0,0.243,0.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0.001,0.001,0,0,0,0.001,17405002614,49154314700,7066250000,810000000,1279.5,1744.98,243,7.75,0.003,0.001,0.19,0.78,0,0,0,0,1,2
South Korea,KOR,0.003,0,0.004,0,0,0,0.024,0.002,0,0.188,0,0,0.001,0.003,0,0.011,0,0.001,0.02,0.005,0.045,0,0.001,0.008,0.009,0,0.039,0,0.014,0.004,0,0,0,0,0,0,0.026,0.001,0.074,0,0.036,0.004,0.023,0.002,0.019,0.009,0,0.001,0.016,0,0.005,0,0,0,0.001,0.008,0,0,0,0,0,0.001,0,0,0.001,0.004,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,1.44E+11,2.75E+11,39039250000,2030000000,1389.75,64172.83,36333.75,769.5,0,0,0.47,0.5,0.54,0,0,0,4,4
South Sudan,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,34500263.5,2449816119,0,1196666667,0,24.24,0,0,0.055,0,0.18,0.46,0.03,0,0.17,0,41,0
Spain,ESP,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.002,0,0.001,0,0,0,0.002,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.004,0,0.002,0,0,0,0.034,0.007,0.002,0.001,0,0,0.001,0,0,0,0,0.003,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31698000000,27688960484,34485000000,955000000,459.25,5049.43,743.5,13,0,0,0.49,0.5,0.18,0.03,0,0,0,0
Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3414282174,4236219020,0,1495000000,9.75,2875.9,68.5,47.25,0.002,0.018,0.2,0.78,0,0,0,0,27,2
Sudan,SDN,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,129140252.8,3303669860,0,2130000000,0,219.16,0,0.5,0.003,0.007,0.15,0.8,0,0,0.24,0,1,0
Suriname,SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907714007,210292591.8,0,0,0,89.49,0,0,0.001,0.004,0.2,0.8,0,0,0,0,1,0
Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0.005,0,0.001,0.001,0,0.001,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16898573352,13727498187,33113500000,4025000000,499.25,4137.4,2418.75,16.75,0,0,0.43,0.49,0.14,0.02,0,0,4,0
Switzerland,CHE,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.03,0.209,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.042,0.12,0.015,0.056,0.002,0,0.001,0,0.002,0.005,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.005,0.002,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71494000000,45427320377,1.88E+11,12960000000,977.25,1305.73,1348.75,10,0,0,0.41,0.52,0.68,0.06,0,0.06,31,0
Syria,SYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24682539.5,946036933.8,0,0,0,679.36,0,0,0,0,0.1,0.79,0,0,0.01,0,4,0
Tajikistan,TJK,0,0,0.001,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52919507.9,1885182537,0,0,0.75,265.31,16.25,0.5,0.016,0.019,0.2,0.82,0,0,0,0,0,6
Tanzania,TZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505788339,3993345789,0,2100000000,0,900.46,0,3,0.025,0.015,0.18,0.79,0,0,0.88,0,6,1
Thailand,THA,0,0,0.068,0.006,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.039,0,0.019,0,0,0,0,0,0,0.015,0.002,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0.065,0.005,0,0,0.003,0.028,0,0,0,0,0,0,0,0.001,48065000000,75034834693,17278000000,1537500000,208.75,6986.05,2462.25,42.75,0,0,0.25,0.77,0.17,0,0.12,0,3,14
Togo,TGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030219542,2319701810,0,0,0,222.57,0,0,0.002,0.003,0.24,0.67,0,0,0,0,24,0
Tonga,TON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31912855.9,29676212.4,0,0,0,121.28,0,0,0.007,0.018,0.21,0.61,0,0,0,0,5,0
Trinidad and Tobago,TTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,8641498476,524056436.8,0,100000000,0,1471.4,0,0,0,0.001,0.25,0.78,0,0,0.21,0,6,0
Tunisia,TUN,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671064117,1453930293,0,0,1.5,527.05,0.5,0.25,0.003,0,0.22,0.77,0.82,0,0,0,5,0
Turkey,TUR,0,0,0.001,0.003,0,0,0,0,0,0,0.027,0.1,0,0,0,0,0,0,0.015,0,0,0,0,0,0.001,0,0.002,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,25689398718,21634510056,3908500000,960000000,295,10253.54,855,14,0,0,0.42,0.61,0.63,0,0,0,6,2
Turkmenistan,TKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,0,0,424538915.4,8397897103,0,600000000,0,203.07,1,0,0.001,0.024,0.19,0.85,0,0,0.31,0,28,0
Tuvalu,TUV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355811.4,9810139,0,0,0,3.7,0,0,0.002,0,0.29,0.74,0,0,0,0,1,0
Uganda,UGA,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214878671.2,686667844.6,0,823333333.3,0,753.17,0,1,0.039,0.008,0.15,0.76,0.15,0,0,0,0,0
Ukraine,UKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.014,0.015,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,3215190535,8174281918,0,140000000,194.75,1485.48,2152.25,4.25,0.003,0.004,0.48,0.49,0.31,0,0,0.09,3,0
United Arab Emirates,ARE,0.055,0.001,0,0,0,0,0,0,0,0,0.001,0.003,0,0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.02,40483770401,46132664476,16006000000,3320000000,1069.5,2764.09,319,0,0,0,0.21,0.78,0.56,0,0.01,0,15,0
United Kingdom,GBR,0,0,0.01,0,0.011,0,0.021,0,0.008,0,0.003,0,0.037,0,0,0,0,0.001,0.005,0,0.001,0,0,0.001,0.026,0,0,0,0.008,0,0.001,0,0.001,0.002,0.005,0,0.068,0.247,0.12,0.026,0.007,0,0.109,0.154,0.003,0,0,0,0.056,0.001,0.024,0,0.003,0,0,0,0,0,0,0,0.001,0.003,0,0,0.001,0.007,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.006,1.45E+11,76555517735,6.74E+11,13755000000,15158.5,9657.37,87204,40,0,0,0.63,0.41,0.82,0.06,0,0.06,6,6
United States,USA,0.455,0,0.14,0.001,0.932,0.051,0.037,0.002,0.634,0.02,0.287,0,0.239,0.001,0.646,0.002,0.519,0.02,0.705,0,0.646,0,0.46,0.001,0.655,0,0,0,0,0.025,0,0,0.538,0,0,0,0.146,0.07,0.086,0.003,0.557,0.014,0.252,0.211,0.246,0.002,0.226,0,0.164,0.002,0.78,0,0.113,0,0.197,0.001,0.621,0.016,0.917,0,0.002,0.011,0.995,0.006,0.988,0.017,0,0,0.96,0.006,0.995,0.008,0.889,0,0.986,0.317,0.646,0.005,0.941,0.013,0.988,0.001,0.969,0.001,0.631,0.004,0,5.49E+11,0,28005000000,0,0,271822.28,116.75,0,0,1,0.18,0,0,0,0,93,23
Uruguay,URY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.022,0,0,0,0,0,0.004,0,0,0,0,0,0,0.001,0,0,0.018,0,0,0,0,0,0,0,0,0,0,2995823140,4554263067,0,0,0,356.09,0,0,0,0,0.26,0.77,0,0,0,0,0,0
Uzbekistan,UZB,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,406664533.2,4031758061,0,410000000,0,472.78,0,0,0.002,0.007,0.18,0.81,0.2,0,0.09,0.02,0,1
Vanuatu,VUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31254832.7,160148912.6,0,0,0,8.62,0,0,0.013,0.046,0.28,0.6,0,0,0,0,1,0
Venezuela,VEN,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0.031,34671000000,13060723512,8656000000,2510000000,0,7201.89,0,1.5,0,0.005,0.15,0.78,0,0,0.23,0,2,3
Vietnam,VNM,0,0,0.008,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.003,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0.008,0,0,0.121,0.142,0,0,0,0.002,0,0,0,0,0,0,0.006,0.012,0,0,0,0.006,0,0,0,0.001,0,0,0,0.004,49741000000,93044186735,0,1387500000,4,18169,268.5,30.25,0.002,0.001,0.2,0.8,0,0,0,0,0,2
Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.003,505684745.6,3364753018,0,0,0,446.55,0,0,0.01,0,0.2,0.78,0.22,0,0,0,3,0
Zambia,ZMB,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0.015,0,0.016,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219936852.2,3281631016,0,1895000000,0,492.96,0,2.5,0.027,0.019,0.22,0.78,0,0,0.59,0,2,0
Zimbabwe,ZWE,0,0,0,0.001,0,0,0,0,0,0,0.018,0.014,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,116932387,1215223690,0,1260000000,0,1222.92,0,0,0.022,0.028,0.11,0.77,0,0,0,0,0,2